"date","calls"
2008-09-30,262
2008-09-29,297
2008-09-28,246
2008-09-27,245
2008-09-26,335
2008-09-25,337
2008-09-24,296
2008-09-23,267
2008-09-22,27
2008-10-31,394
2008-10-30,342
2008-10-29,304
2008-10-28,306
2008-10-27,319
2008-10-26,232
2008-10-25,204
2008-10-24,231
2008-10-23,263
2008-10-22,296
2008-10-21,275
2008-10-20,220
2008-10-19,211
2008-10-18,245
2008-10-17,268
2008-10-16,276
2008-10-15,260
2008-10-14,227
2008-10-13,256
2008-10-12,191
2008-10-11,254
2008-10-10,258
2008-10-09,238
2008-10-08,226
2008-10-07,273
2008-10-06,290
2008-10-05,187
2008-10-04,261
2008-10-03,311
2008-10-02,278
2008-10-01,262
2008-11-30,216
2008-11-29,248
2008-11-28,311
2008-11-27,200
2008-11-26,341
2008-11-25,322
2008-11-24,317
2008-11-23,240
2008-11-22,283
2008-11-21,321
2008-11-20,291
2008-11-19,265
2008-11-18,350
2008-11-17,299
2008-11-16,282
2008-11-15,308
2008-11-14,286
2008-11-13,328
2008-11-12,352
2008-11-11,276
2008-11-10,283
2008-11-09,241
2008-11-08,298
2008-11-07,310
2008-11-06,317
2008-11-05,248
2008-11-04,259
2008-11-03,255
2008-11-02,240
2008-11-01,403
2008-12-31,296
2008-12-30,245
2008-12-29,241
2008-12-28,197
2008-12-27,225
2008-12-26,195
2008-12-25,156
2008-12-24,204
2008-12-23,266
2008-12-22,245
2008-12-21,190
2008-12-20,199
2008-12-19,250
2008-12-18,223
2008-12-17,219
2008-12-16,196
2008-12-15,249
2008-12-14,164
2008-12-13,208
2008-12-12,287
2008-12-11,325
2008-12-10,366
2008-12-09,315
2008-12-08,305
2008-12-07,234
2008-12-06,261
2008-12-05,286
2008-12-04,305
2008-12-03,322
2008-12-02,295
2008-12-01,286
2009-01-31,259
2009-01-30,314
2009-01-29,345
2009-01-28,288
2009-01-27,319
2009-01-26,273
2009-01-25,213
2009-01-24,249
2009-01-23,346
2009-01-22,312
2009-01-21,252
2009-01-20,286
2009-01-19,278
2009-01-18,237
2009-01-17,260
2009-01-16,340
2009-01-15,313
2009-01-14,380
2009-01-13,356
2009-01-12,267
2009-01-11,242
2009-01-10,281
2009-01-09,336
2009-01-08,311
2009-01-07,303
2009-01-06,311
2009-01-05,246
2009-01-04,210
2009-01-03,263
2009-01-02,291
2009-01-01,293
2009-02-28,249
2009-02-27,321
2009-02-26,354
2009-02-25,263
2009-02-24,373
2009-02-23,289
2009-02-22,298
2009-02-21,294
2009-02-20,339
2009-02-19,355
2009-02-18,344
2009-02-17,350
2009-02-16,265
2009-02-15,249
2009-02-14,283
2009-02-13,378
2009-02-12,300
2009-02-11,338
2009-02-10,271
2009-02-09,288
2009-02-08,219
2009-02-07,313
2009-02-06,328
2009-02-05,328
2009-02-04,358
2009-02-03,300
2009-02-02,274
2009-02-01,237
2009-03-31,329
2009-03-30,218
2009-03-29,195
2009-03-28,224
2009-03-27,318
2009-03-26,227
2009-03-25,251
2009-03-24,270
2009-03-23,259
2009-03-22,184
2009-03-21,239
2009-03-20,333
2009-03-19,324
2009-03-18,401
2009-03-17,351
2009-03-16,257
2009-03-15,192
2009-03-14,243
2009-03-13,386
2009-03-12,384
2009-03-11,320
2009-03-10,311
2009-03-09,232
2009-03-08,231
2009-03-07,218
2009-03-06,343
2009-03-05,279
2009-03-04,284
2009-03-03,315
2009-03-02,242
2009-03-01,248
2009-04-30,295
2009-04-29,322
2009-04-28,257
2009-04-27,224
2009-04-26,250
2009-04-25,260
2009-04-24,347
2009-04-23,337
2009-04-22,335
2009-04-21,316
2009-04-20,256
2009-04-19,214
2009-04-18,269
2009-04-17,348
2009-04-16,351
2009-04-15,297
2009-04-14,249
2009-04-13,241
2009-04-12,190
2009-04-11,323
2009-04-10,326
2009-04-09,327
2009-04-08,307
2009-04-07,368
2009-04-06,281
2009-04-05,271
2009-04-04,288
2009-04-03,314
2009-04-02,340
2009-04-01,260
2009-05-31,233
2009-05-30,315
2009-05-29,358
2009-05-28,313
2009-05-27,266
2009-05-26,260
2009-05-25,229
2009-05-24,231
2009-05-23,288
2009-05-22,316
2009-05-21,305
2009-05-20,274
2009-05-19,259
2009-05-18,231
2009-05-17,227
2009-05-16,238
2009-05-15,290
2009-05-14,305
2009-05-13,277
2009-05-12,278
2009-05-11,256
2009-05-10,203
2009-05-09,277
2009-05-08,341
2009-05-07,331
2009-05-06,292
2009-05-05,293
2009-05-04,235
2009-05-03,229
2009-05-02,325
2009-05-01,322
2009-06-30,319
2009-06-29,284
2009-06-28,213
2009-06-27,236
2009-06-26,251
