"date","calls"
2014-01-31,102
2014-01-30,105
2014-01-29,81
2014-01-28,91
2014-01-27,109
2014-01-26,87
2014-01-25,120
2014-01-24,110
2014-01-23,103
2014-01-22,82
2014-01-21,124
2014-01-20,105
2014-01-19,100
2014-01-18,109
2014-01-17,108
2014-01-16,99
2014-01-15,118
2014-01-14,124
2014-01-13,120
2014-01-12,101
2014-01-11,107
2014-01-10,110
2014-01-09,152
2014-01-08,93
2014-01-07,123
2014-01-06,99
2014-01-05,76
2014-01-04,116
2014-01-03,114
2014-01-02,113
2014-01-01,94
2014-02-28,143
2014-02-27,106
2014-02-26,124
2014-02-25,99
2014-02-24,116
2014-02-23,104
2014-02-22,112
2014-02-21,123
2014-02-20,140
2014-02-19,117
2014-02-18,110
2014-02-17,111
2014-02-16,122
2014-02-15,84
2014-02-14,120
2014-02-13,120
2014-02-12,121
2014-02-11,105
2014-02-10,108
2014-02-09,82
2014-02-08,165
2014-02-07,92
2014-02-06,92
2014-02-05,124
2014-02-04,142
2014-02-03,112
2014-02-02,109
2014-02-01,140
2014-03-31,121
2014-03-30,82
2014-03-29,108
2014-03-28,98
2014-03-27,78
2014-03-26,94
2014-03-25,113
2014-03-24,135
2014-03-23,107
2014-03-22,93
2014-03-21,89
2014-03-20,99
2014-03-19,129
2014-03-18,123
2014-03-17,112
2014-03-16,112
2014-03-15,103
2014-03-14,114
2014-03-13,109
2014-03-12,109
2014-03-11,95
2014-03-10,123
2014-03-09,87
2014-03-08,103
2014-03-07,111
2014-03-06,100
2014-03-05,119
2014-03-04,142
2014-03-03,114
2014-03-02,93
2014-03-01,98
2014-04-30,111
2014-04-29,89
2014-04-28,125
2014-04-27,85
2014-04-26,87
2014-04-25,116
2014-04-24,117
2014-04-23,111
2014-04-22,102
2014-04-21,86
2014-04-20,100
2014-04-19,104
2014-04-18,127
2014-04-17,94
2014-04-16,141
2014-04-15,119
2014-04-14,100
2014-04-13,86
2014-04-12,98
2014-04-11,134
2014-04-10,149
2014-04-09,140
2014-04-08,115
2014-04-07,107
2014-04-06,96
2014-04-05,104
2014-04-04,101
2014-04-03,141
2014-04-02,124
2014-04-01,139
2014-05-31,123
2014-05-30,142
2014-05-29,119
2014-05-28,119
2014-05-27,106
2014-05-26,87
2014-05-25,105
2014-05-24,121
2014-05-23,111
2014-05-22,110
2014-05-21,137
2014-05-20,115
2014-05-19,118
2014-05-18,97
2014-05-17,100
2014-05-16,125
2014-05-15,127
2014-05-14,114
2014-05-13,102
2014-05-12,107
2014-05-11,113
2014-05-10,121
2014-05-09,118
2014-05-08,97
2014-05-07,126
2014-05-06,117
2014-05-05,124
2014-05-04,91
2014-05-03,100
2014-05-02,105
2014-05-01,138
2014-06-30,154
2014-06-29,142
2014-06-28,121
2014-06-27,121
2014-06-26,122
2014-06-25,145
2014-06-24,134
2014-06-23,114
2014-06-22,114
2014-06-21,117
2014-06-20,123
2014-06-19,157
2014-06-18,135
2014-06-17,130
2014-06-16,110
2014-06-15,96
2014-06-14,130
2014-06-13,120
2014-06-12,133
2014-06-11,135
2014-06-10,152
2014-06-09,105
2014-06-08,100
2014-06-07,135
2014-06-06,121
2014-06-05,126
2014-06-04,145
2014-06-03,140
2014-06-02,114
2014-06-01,106
2014-07-31,91
2014-07-30,107
2014-07-29,109
2014-07-28,99
2014-07-27,118
2014-07-26,107
2014-07-25,129
2014-07-24,98
2014-07-23,112
2014-07-22,118
2014-07-21,119
2014-07-20,102
2014-07-19,116
2014-07-18,121
2014-07-17,113
2014-07-16,125
2014-07-15,141
2014-07-14,139
2014-07-13,109
2014-07-12,123
2014-07-11,136
2014-07-10,140
2014-07-09,110
2014-07-08,138
2014-07-07,124
2014-07-06,106
2014-07-05,137
2014-07-04,149
2014-07-03,147
2014-07-02,140
2014-07-01,114
2014-08-31,117
2014-08-30,126
2014-08-29,127
2014-08-28,79
2014-08-27,135
2014-08-26,123
2014-08-25,136
2014-08-24,118
2014-08-23,129
2014-08-22,122
2014-08-21,148
2014-08-20,137
2014-08-19,125
2014-08-18,104
2014-08-17,109
2014-08-16,135
2014-08-15,160
2014-08-14,140
2014-08-13,123
2014-08-12,142
2014-08-11,125
2014-08-10,127
2014-08-09,142
2014-08-08,137
2014-08-07,144
2014-08-06,148
2014-08-05,139
2014-08-04,122
2014-08-03,97
2014-08-02,101
2014-08-01,139
2014-09-30,114
2014-09-29,86
2014-09-28,96
2014-09-27,136
2014-09-26,131
2014-09-25,113
2014-09-24,111
2014-09-23,137
2014-09-22,117
2014-09-21,111
2014-09-20,124
2014-09-19,142
2014-09-18,141
2014-09-17,117
2014-09-16,140
2014-09-15,129
2014-09-14,106
2014-09-13,131
2014-09-12,127
2014-09-11,161
2014-09-10,138
2014-09-09,114
2014-09-08,139
2014-09-07,107
2014-09-06,114
2014-09-05,153
2014-09-04,130
2014-09-03,130
2014-09-02,135
2014-09-01,134
2014-10-31,154
2014-10-30,107
2014-10-29,134
2014-10-28,124
2014-10-27,102
2014-10-26,83
2014-10-25,99
2014-10-24,123
2014-10-23,129
2014-10-22,125
2014-10-21,112
2014-10-20,108
2014-10-19,86
2014-10-18,111
2014-10-17,99
2014-10-16,131
2014-10-15,103
2014-10-14,124
2014-10-13,108
2014-10-12,99
2014-10-11,103
2014-10-10,135
2014-10-09,142
2014-10-08,104
2014-10-07,117
2014-10-06,102
2014-10-05,97
2014-10-04,126
2014-10-03,178
2014-10-02,147
2014-10-01,136
2014-11-30,78
2014-11-29,98
2014-11-28,102
2014-11-27,80
2014-11-26,127
2014-11-25,115
2014-11-24,105
2014-11-23,100
2014-11-22,108
2014-11-21,113
2014-11-20,129
2014-11-19,118
2014-11-18,103
2014-11-17,100
2014-11-16,113
2014-11-15,107
2014-11-14,101
2014-11-13,96
2014-11-12,143
2014-11-11,96
2014-11-10,122
2014-11-09,95
2014-11-08,102
2014-11-07,142
2014-11-06,109
2014-11-05,153
2014-11-04,114
2014-11-03,87
2014-11-02,87
2014-11-01,121
2014-12-31,187
2014-12-30,128
2014-12-29,121
2014-12-28,98
2014-12-27,92
2014-12-26,117
2014-12-25,72
2014-12-24,125
2014-12-23,126
2014-12-22,119
2014-12-21,108
2014-12-20,117
2014-12-19,142
2014-12-18,140
2014-12-17,140
2014-12-16,133
2014-12-15,129
2014-12-14,93
2014-12-13,137
2014-12-12,125
2014-12-11,144
2014-12-10,124
2014-12-09,97
2014-12-08,133
2014-12-07,106
2014-12-06,108
2014-12-05,107
2014-12-04,107
2014-12-03,88
2014-12-02,119
2014-12-01,86
2015-01-31,130
2015-01-30,148
2015-01-29,125
2015-01-28,109
2015-01-27,137
2015-01-26,124
2015-01-25,130
2015-01-24,116
2015-01-23,129
2015-01-22,137
2015-01-21,103
2015-01-20,109
2015-01-19,108
2015-01-18,102
2015-01-17,120
2015-01-16,149
2015-01-15,143
2015-01-14,146
2015-01-13,140
2015-01-12,122
2015-01-11,125
2015-01-10,134
2015-01-09,143
2015-01-08,131
2015-01-07,138
2015-01-06,138
2015-01-05,125
2015-01-04,94
2015-01-03,110
2015-01-02,127
2015-01-01,119
2015-02-28,125
2015-02-27,141
2015-02-26,134
2015-02-25,120
2015-02-24,111
2015-02-23,87
2015-02-22,96
2015-02-21,97
2015-02-20,149
2015-02-19,138
2015-02-18,130
